           1   1.3022261506603321     
           2  0.65749028652610964     
           3  0.43791499942082318     
           4  0.32196655237148997     
           5  0.24726531655427669     
           6  0.19373990600309079     
           7  0.15312237656843938     
           8  0.12137687533760755     
           9   9.6205458314099115E-002
          10   7.6124487228914059E-002
          11   6.0083801581441026E-002
          12   4.7290396382960072E-002
          13   3.7118559129169941E-002
          14   2.9061433910464254E-002
          15   2.2703654800557537E-002
          16   1.7704421044186014E-002
          17   1.3785443336908449E-002
          18   1.0721148257014909E-002
          19   8.3301298124232523E-003
          20   6.4675658146997944E-003
          21   5.0185675174958411E-003
          22   3.8924664772830987E-003
          23   3.0180079347079756E-003
          24   2.3393794352616596E-003
          25   1.8129774906086719E-003
          26   1.4048054801937494E-003
          27   1.0883983150683535E-003
